customerid, firstname, lastname, address1, address2, city, state, zip, country, region, email, phone, creditcardtype, creditcard, creditcardexpiration, username, "password", age, income, gender
1, VKUUXF, ITHOMQJNYX, 4608499546 Dell Way, \N, QSDPAGD, SD, 24101, US, 1, ITHOMQJNYX@dell.com, 4608499546, 1, 1979279217775911, 2012/03, user1, password, 55, 100000, M
2, HQNMZH, UNUKXHJVXB, 5119315633 Dell Way, \N, YNCERXJ, AZ, 11802, US, 1, UNUKXHJVXB@dell.com, 5119315633, 1, 3144519586581737, 2012/11, user2, password, 80, 40000, M
3, JTNRNB, LYYSHTQJRE, 6297761196 Dell Way, \N, LWVIFXJ, OH, 96082, US, 1, LYYSHTQJRE@dell.com, 6297761196, 4, 8728086929768325, 2010/12, user3, password, 47, 100000, M
4, XMFYXD, WQLQHUHLFE, 9862764981 Dell Way, \N, HOKEXCD, MS, 78442, US, 1, WQLQHUHLFE@dell.com, 9862764981, 5, 7160005148965866, 2009/09, user4, password, 44, 40000, F
5, PGDTDU, ETBYBNEGUT, 2841895775 Dell Way, \N, RZQTCDN, AZ, 16291, US, 1, ETBYBNEGUT@dell.com, 2841895775, 3, 8377095518168063, 2010/10, user5, password, 21, 20000, M
6, FXDZBW, BAXPEEKXVJ, 6192740010 Dell Way, \N, OPLRCNT, IN, 99300, US, 1, BAXPEEKXVJ@dell.com, 6192740010, 5, 7730283664073796, 2011/01, user6, password, 72, 100000, M
7, WVZTXZ, RMEVXCQGQF, 9743191382 Dell Way, \N, SIIGBQF, NV, 55961, US, 1, RMEVXCQGQF@dell.com, 9743191382, 2, 5914961899630726, 2011/02, user7, password, 52, 60000, M
8, LIWLAI, PVGRMMHSEQ, 7576564107 Dell Way, \N, BKSRQJE, NJ, 66444, US, 1, PVGRMMHSEQ@dell.com, 7576564107, 2, 7663945967331529, 2009/12, user8, password, 67, 80000, F
9, NCGWRC, CJOPRHUHIE, 7291678624 Dell Way, \N, ZAVIELY, VT, 78838, US, 1, CJOPRHUHIE@dell.com, 7291678624, 1, 7172072122339160, 2009/10, user9, password, 86, 100000, M
10, FUOHXX, WMOEHWMMWM, 2603867587 Dell Way, \N, HERSDPM, TN, 75182, US, 1, WMOEHWMMWM@dell.com, 2603867587, 2, 5486729339230806, 2008/02, user10, password, 44, 40000, M
11, XQVVMI, KRPGDBCQJH, 2415449050 Dell Way, \N, ICLYPGR, PA, 53868, US, 1, KRPGDBCQJH@dell.com, 2415449050, 5, 6630987872369588, 2010/03, user11, password, 58, 60000, M
12, KGISQZ, IXDKAUUHCW, 1896033667 Dell Way, \N, SBLZSFM, UT, 18452, US, 1, IXDKAUUHCW@dell.com, 1896033667, 2, 3715867913328111, 2011/10, user12, password, 27, 20000, F
13, LURLDP, PNPJHXMEPN, 3029418206 Dell Way, \N, QPGVBCY, DE, 53356, US, 1, PNPJHXMEPN@dell.com, 3029418206, 5, 3617457962129265, 2009/11, user13, password, 43, 100000, M
14, AGUQVI, FFPCRUSFKI, 3748672054 Dell Way, \N, LGKNEOA, MA, 44395, US, 1, FFPCRUSFKI@dell.com, 3748672054, 4, 3344003576319665, 2011/07, user14, password, 85, 80000, M
15, SIQANV, QQNKJSURDA, 3354132892 Dell Way, \N, BREQSOA, AK, 37471, US, 1, QQNKJSURDA@dell.com, 3354132892, 4, 8717996907886119, 2008/05, user15, password, 66, 100000, M
16, IXEENV, RXEKSWOTYG, 6914808178 Dell Way, \N, YOYMOYU, SD, 63504, US, 1, RXEKSWOTYG@dell.com, 6914808178, 5, 9422665674239398, 2009/11, user16, password, 61, 80000, M
17, UUGPME, UWWRKPPQOD, 1436497137 Dell Way, \N, PASNVNC, MO, 55931, US, 1, UWWRKPPQOD@dell.com, 1436497137, 5, 4461925670970231, 2011/06, user17, password, 28, 60000, F
18, KASOVP, LMZBBQPFFQ, 4002123087 Dell Way, \N, YTMLWYY, VA, 79031, US, 1, LMZBBQPFFQ@dell.com, 4002123087, 3, 2972224516794085, 2010/12, user18, password, 52, 100000, M
19, ELUTXG, TZIKOOQEMJ, 6334227072 Dell Way, \N, RXFPWCJ, GA, 68186, US, 1, TZIKOOQEMJ@dell.com, 6334227072, 4, 6367064577993006, 2008/07, user19, password, 59, 40000, F
20, IAYPUX, YELMUQZEHW, 7467996902 Dell Way, \N, JXTMHYD, UT, 66087, US, 1, YELMUQZEHW@dell.com, 7467996902, 5, 2656596019398421, 2009/03, user20, password, 32, 80000, F
21, DFYAED, MQXCPBKMLH, 9981729052 Dell Way, \N, GXOEALV, PA, 42074, US, 1, MQXCPBKMLH@dell.com, 9981729052, 1, 5711935373954475, 2009/08, user21, password, 69, 40000, M
22, QIBTUS, RXITHVEPBC, 5221450049 Dell Way, \N, EGDPBXY, AR, 93269, US, 1, RXITHVEPBC@dell.com, 5221450049, 2, 6283100841101260, 2008/08, user22, password, 52, 100000, M
23, NPSFGQ, NAYJFNKHRQ, 8606105897 Dell Way, \N, LGSIFTG, NY, 11455, US, 1, NAYJFNKHRQ@dell.com, 8606105897, 5, 6406863798853011, 2009/09, user23, password, 56, 100000, F
24, GBNXPN, VYTIJBAAMH, 1759698957 Dell Way, \N, SVNMCEM, WA, 13905, US, 1, VYTIJBAAMH@dell.com, 1759698957, 2, 7402193841524423, 2011/02, user24, password, 88, 100000, F
25, MTUAPT, TXCUYCHGVC, 7232171147 Dell Way, \N, THEYTCZ, TX, 40738, US, 1, TXCUYCHGVC@dell.com, 7232171147, 3, 4909582856111229, 2011/04, user25, password, 61, 20000, F
26, JDRCWP, FRNIYTDANK, 1757661798 Dell Way, \N, FLEILAQ, CT, 51575, US, 1, FRNIYTDANK@dell.com, 1757661798, 4, 8073390801902861, 2011/11, user26, password, 81, 20000, F
27, NEYCKP, QSOKVPXFUJ, 6716835282 Dell Way, \N, JCVKTYW, TN, 74298, US, 1, QSOKVPXFUJ@dell.com, 6716835282, 3, 6621923426631839, 2010/07, user27, password, 67, 20000, M
28, PDDFUV, TERICXCMHF, 6049066172 Dell Way, \N, HRYFNUY, DC, 36514, US, 1, TERICXCMHF@dell.com, 6049066172, 4, 8860724361613394, 2009/09, user28, password, 63, 100000, M
29, UAPQTU, HBWEEJLJQC, 3449703700 Dell Way, \N, IWPCUTK, LA, 45481, US, 1, HBWEEJLJQC@dell.com, 3449703700, 3, 1614113333169371, 2012/06, user29, password, 82, 80000, F
30, MHFGOH, DTMMFWDHEA, 2016678561 Dell Way, \N, XHVQREB, WI, 79755, US, 1, DTMMFWDHEA@dell.com, 2016678561, 5, 2865310022607446, 2012/07, user30, password, 66, 60000, M
31, XSKFVE, RIJNLQSLOA, 4837704029 Dell Way, \N, GESLGQF, KY, 56291, US, 1, RIJNLQSLOA@dell.com, 4837704029, 2, 1454196398146450, 2008/10, user31, password, 82, 100000, M
32, HEJLWR, UKDLCPZCWE, 1184575169 Dell Way, \N, UIKLNTZ, WI, 17967, US, 1, UKDLCPZCWE@dell.com, 1184575169, 1, 9080948004499080, 2012/01, user32, password, 48, 20000, F
33, UQBLKL, PVOFURBZMJ, 1806894893 Dell Way, \N, JYXCXWE, VT, 93580, US, 1, PVOFURBZMJ@dell.com, 1806894893, 5, 9715552329085768, 2010/01, user33, password, 31, 40000, M
34, GTASJW, HORYQQLAZJ, 7282866423 Dell Way, \N, YCGUHES, MA, 10625, US, 1, HORYQQLAZJ@dell.com, 7282866423, 5, 1105126248672604, 2012/03, user34, password, 64, 20000, M
35, RWHOEV, FCLWOLWXKY, 4409192440 Dell Way, \N, EEGJXQJ, NJ, 56565, US, 1, FCLWOLWXKY@dell.com, 4409192440, 3, 7246819562744350, 2008/08, user35, password, 63, 80000, M
36, XGRSMU, EIIQEGADKF, 3021789304 Dell Way, \N, KUDADTN, MT, 32229, US, 1, EIIQEGADKF@dell.com, 3021789304, 3, 9073497921694072, 2012/03, user36, password, 48, 80000, F
37, CMYWQG, FHLLHPWNZQ, 5803405046 Dell Way, \N, QZUKNIQ, OR, 87777, US, 1, FHLLHPWNZQ@dell.com, 5803405046, 3, 1896664091385901, 2012/04, user37, password, 60, 20000, M
38, NYLUDS, GPAVMNUDEU, 2906073166 Dell Way, \N, YOHGFAC, OR, 65430, US, 1, GPAVMNUDEU@dell.com, 2906073166, 4, 9456843751948328, 2011/09, user38, password, 71, 40000, M
39, ECUWIJ, WDWKYZOSXC, 6284773018 Dell Way, \N, AEIAGAQ, MO, 74187, US, 1, WDWKYZOSXC@dell.com, 6284773018, 2, 4912659454625100, 2009/07, user39, password, 23, 60000, M
40, WIZGFD, CPBCDTZGTD, 7725075074 Dell Way, \N, OUKPLXI, AL, 24179, US, 1, CPBCDTZGTD@dell.com, 7725075074, 2, 7576088857371361, 2012/10, user40, password, 46, 80000, F
41, JYINBY, ODBICICGXX, 5021884093 Dell Way, \N, RMJOUKS, NC, 76640, US, 1, ODBICICGXX@dell.com, 5021884093, 2, 6023778205737472, 2012/01, user41, password, 69, 40000, F
42, BSBZHE, AQHJTNGQFT, 7225708050 Dell Way, \N, ATNKMCD, WA, 51342, US, 1, AQHJTNGQFT@dell.com, 7225708050, 4, 5741442908532918, 2009/12, user42, password, 56, 60000, M
43, PKATLQ, AUKOBAUUAO, 4599311991 Dell Way, \N, ILAKOYW, ID, 74576, US, 1, AUKOBAUUAO@dell.com, 4599311991, 4, 7362957327160985, 2012/02, user43, password, 49, 60000, F
44, LGYCHT, MWUNQPOEYZ, 6118785825 Dell Way, \N, FINDFUW, NJ, 49850, US, 1, MWUNQPOEYZ@dell.com, 6118785825, 3, 5789964983239770, 2012/01, user44, password, 20, 60000, F
45, ZNPSZM, NNCDBHBAMK, 3934871591 Dell Way, \N, OQPJMFU, AR, 78641, US, 1, NNCDBHBAMK@dell.com, 3934871591, 1, 8396578761748970, 2009/06, user45, password, 28, 40000, M
46, TBZFPM, ISOQTOCDDS, 5928516639 Dell Way, \N, TMFZGGS, NH, 38220, US, 1, ISOQTOCDDS@dell.com, 5928516639, 5, 8143781044054777, 2011/04, user46, password, 75, 60000, F
47, URXHAP, VQJJTNNMGZ, 1468092885 Dell Way, \N, RFGYYVG, MO, 79543, US, 1, VQJJTNNMGZ@dell.com, 1468092885, 1, 1439432312734425, 2012/08, user47, password, 45, 80000, F
48, HXIXSY, GCSTPEAPVF, 5164479008 Dell Way, \N, VUEQBRK, CO, 85154, US, 1, GCSTPEAPVF@dell.com, 5164479008, 5, 5145818285178393, 2012/07, user48, password, 73, 20000, F
49, CAFAHI, TAYXBNTGIN, 4483097562 Dell Way, \N, LZPCJRY, TX, 65999, US, 1, TAYXBNTGIN@dell.com, 4483097562, 4, 2767849665600806, 2008/10, user49, password, 67, 40000, M
50, XGCFAD, DXERQLZEWY, 3309250755 Dell Way, \N, TYILWEB, ID, 87593, US, 1, DXERQLZEWY@dell.com, 3309250755, 3, 7016217195894570, 2012/08, user50, password, 53, 100000, M
51, PBXSEV, WWMHVQDUKC, 8443500542 Dell Way, \N, DWZHXGE, DE, 70302, US, 1, WWMHVQDUKC@dell.com, 8443500542, 1, 3863717397209257, 2009/12, user51, password, 35, 100000, M
52, EPEZLA, LTVCXQNZTJ, 3004564116 Dell Way, \N, ZBGGFLX, AL, 57677, US, 1, LTVCXQNZTJ@dell.com, 3004564116, 2, 5146914470475167, 2010/03, user52, password, 49, 80000, M
53, PPHQAA, MDYCQYVZXX, 7102610410 Dell Way, \N, GDCRBDF, ID, 52077, US, 1, MDYCQYVZXX@dell.com, 7102610410, 4, 7402909262105823, 2008/05, user53, password, 58, 80000, M
54, WIZWUC, VXTTSTQPZU, 1023603196 Dell Way, \N, SRVVXDH, NE, 86106, US, 1, VXTTSTQPZU@dell.com, 1023603196, 4, 2668283766135573, 2010/05, user54, password, 26, 60000, M
55, BHNECK, XVDQMTQHMH, 3574669247 Dell Way, \N, DHFGOUC, NE, 51427, US, 1, XVDQMTQHMH@dell.com, 3574669247, 1, 8774650241713972, 2009/07, user55, password, 61, 60000, M
56, DQXOOT, REGLVOXDRF, 4761523925 Dell Way, \N, IYUCBJO, KS, 53642, US, 1, REGLVOXDRF@dell.com, 4761523925, 4, 1167002467904239, 2008/03, user56, password, 79, 20000, M
57, TSKNJP, UVKITNAYWY, 6110351941 Dell Way, \N, SYABMIO, VT, 15705, US, 1, UVKITNAYWY@dell.com, 6110351941, 5, 3408206243067980, 2010/01, user57, password, 26, 20000, M
58, NRECLZ, NUTBURXTJV, 4833048217 Dell Way, \N, TLICZGE, ND, 25277, US, 1, NUTBURXTJV@dell.com, 4833048217, 5, 3229167290963232, 2010/02, user58, password, 19, 20000, M
59, EEGERB, XSWOPPYLJK, 4842132323 Dell Way, \N, UMKAQZE, AR, 94176, US, 1, XSWOPPYLJK@dell.com, 4842132323, 3, 1609264146536588, 2010/08, user59, password, 82, 80000, M
60, DUNFRG, BGWRFHAPBM, 9649127091 Dell Way, \N, ZBCYGEX, NY, 77389, US, 1, BGWRFHAPBM@dell.com, 9649127091, 1, 4611537483520806, 2012/09, user60, password, 34, 100000, M
61, TEFZGL, VXQCXGEKGG, 8449346521 Dell Way, \N, NFNRCEL, AR, 37621, US, 1, VXQCXGEKGG@dell.com, 8449346521, 5, 1476791314315050, 2008/11, user61, password, 60, 80000, F
62, UTHGOF, WRDDWNJCBO, 2219900888 Dell Way, \N, PSQUDRC, WV, 61548, US, 1, WRDDWNJCBO@dell.com, 2219900888, 1, 5048757464159280, 2011/10, user62, password, 55, 60000, M
63, VTDAQU, DTQRCTSRIL, 1055097560 Dell Way, \N, HCPZFOO, KS, 64664, US, 1, DTQRCTSRIL@dell.com, 1055097560, 1, 4810401593800634, 2010/07, user63, password, 90, 40000, F
64, DJYXMR, OEUIWLRITU, 5734550591 Dell Way, \N, XSZMHHC, IL, 41518, US, 1, OEUIWLRITU@dell.com, 5734550591, 5, 9145867860410364, 2010/02, user64, password, 32, 80000, M
65, DOAUDE, PLBACKUWHM, 4563891355 Dell Way, \N, VUUDXBM, MI, 89266, US, 1, PLBACKUWHM@dell.com, 4563891355, 5, 1298333559185266, 2010/07, user65, password, 57, 80000, F
66, ONGTCS, UDVEXRMKNH, 2559052903 Dell Way, \N, ERFGEQD, ND, 62223, US, 1, UDVEXRMKNH@dell.com, 2559052903, 1, 2450195379555225, 2011/11, user66, password, 39, 40000, F
67, OANHVR, CAOUMZIUEZ, 4337782111 Dell Way, \N, ZLDQOSF, OR, 87650, US, 1, CAOUMZIUEZ@dell.com, 4337782111, 3, 7699506011325867, 2011/09, user67, password, 29, 40000, M
68, RNOIPO, XKBWSWASWL, 2521982461 Dell Way, \N, WMAORTL, AZ, 29353, US, 1, XKBWSWASWL@dell.com, 2521982461, 4, 9546184672508390, 2009/12, user68, password, 69, 100000, F
69, GICVFN, XCFTCYPOUC, 5621417868 Dell Way, \N, PIUJUVO, WA, 61844, US, 1, XCFTCYPOUC@dell.com, 5621417868, 2, 5908201500773430, 2009/04, user69, password, 20, 60000, M
70, DIUQFW, WYZUOOOQDX, 4579724741 Dell Way, \N, LMRHBQW, ND, 90023, US, 1, WYZUOOOQDX@dell.com, 4579724741, 4, 2270859372802078, 2010/03, user70, password, 69, 60000, M
71, MFTJBS, IWHWKYZIJM, 7151078438 Dell Way, \N, AQNQNCO, VA, 86660, US, 1, IWHWKYZIJM@dell.com, 7151078438, 2, 1909482368268072, 2009/11, user71, password, 66, 100000, F
72, LGDDOA, LLKJKTTXUK, 5076143849 Dell Way, \N, KLXNZVJ, NV, 22494, US, 1, LLKJKTTXUK@dell.com, 5076143849, 1, 1294616055209189, 2008/12, user72, password, 27, 60000, F
73, HRTHDE, SNPLGMGRXR, 5940442139 Dell Way, \N, OKQJTHN, GA, 42285, US, 1, SNPLGMGRXR@dell.com, 5940442139, 2, 3680636959616095, 2011/11, user73, password, 52, 100000, M
74, FGRJYE, YKLKQCIHRS, 9144738893 Dell Way, \N, YAMGORP, CO, 97924, US, 1, YKLKQCIHRS@dell.com, 9144738893, 4, 8466012486256660, 2009/09, user74, password, 45, 60000, M
75, AYXFXH, QIYSQFJJEK, 3559184079 Dell Way, \N, VKZMABL, WA, 86608, US, 1, QIYSQFJJEK@dell.com, 3559184079, 2, 6260699358303100, 2011/11, user75, password, 58, 80000, M
76, LXTTNB, RGSXQBBBWM, 5843842130 Dell Way, \N, AJNCULY, CA, 77025, US, 1, RGSXQBBBWM@dell.com, 5843842130, 4, 6731045445892960, 2008/06, user76, password, 53, 60000, F
77, FIWHZC, ZXTBZUYMVH, 8203956428 Dell Way, \N, ZYCKXEE, ME, 91924, US, 1, ZXTBZUYMVH@dell.com, 8203956428, 3, 4091474133078009, 2009/01, user77, password, 67, 60000, F
78, NUJQUH, KWGFUTABSZ, 5901074984 Dell Way, \N, DDWHHHF, CA, 83709, US, 1, KWGFUTABSZ@dell.com, 5901074984, 2, 9049576921388508, 2009/11, user78, password, 38, 80000, M
79, RKMYUI, FZCYADRAHU, 8947035148 Dell Way, \N, WOCETEZ, IN, 60391, US, 1, FZCYADRAHU@dell.com, 8947035148, 3, 5019842551089823, 2008/04, user79, password, 27, 100000, M
80, QULYZL, BYMFPMMKJA, 7038885902 Dell Way, \N, MNURNCF, MD, 66172, US, 1, BYMFPMMKJA@dell.com, 7038885902, 3, 9086241888813676, 2012/05, user80, password, 59, 60000, F
81, AJEMKC, ZPSLCCVCPI, 5684336516 Dell Way, \N, XGWZMGQ, DC, 85073, US, 1, ZPSLCCVCPI@dell.com, 5684336516, 5, 3071253094356507, 2008/05, user81, password, 47, 20000, M
82, OPEROU, KAWNVYDEWJ, 4250067926 Dell Way, \N, AWWHMAD, WY, 98473, US, 1, KAWNVYDEWJ@dell.com, 4250067926, 1, 4282251605298370, 2011/03, user82, password, 26, 40000, M
83, HAJBLJ, XZEWCJSMJP, 7328085613 Dell Way, \N, IRBJVBI, DE, 23592, US, 1, XZEWCJSMJP@dell.com, 7328085613, 5, 4187984682153911, 2012/04, user83, password, 29, 20000, F
84, NDTWBS, BYVKQHUGPM, 8804140647 Dell Way, \N, HZHJHLN, AK, 45455, US, 1, BYVKQHUGPM@dell.com, 8804140647, 5, 7080934641417117, 2008/12, user84, password, 90, 60000, F
85, TKDMLB, HWSORYEDGE, 9566648908 Dell Way, \N, LPMWCMH, WV, 36979, US, 1, HWSORYEDGE@dell.com, 9566648908, 5, 2994280820246786, 2012/07, user85, password, 39, 80000, M
86, KEKMMG, EAYCFBIJMY, 8481905861 Dell Way, \N, VJAIQAP, NH, 10347, US, 1, EAYCFBIJMY@dell.com, 8481905861, 3, 5738052499946207, 2008/03, user86, password, 50, 60000, F
87, VAWCEX, AGDCPNPNJZ, 1912388650 Dell Way, \N, ORQOHFO, CO, 79369, US, 1, AGDCPNPNJZ@dell.com, 1912388650, 2, 1135459203738719, 2010/10, user87, password, 49, 40000, M
88, IMYGNF, JPVWEIGDXX, 7842002899 Dell Way, \N, TMEZBHT, DC, 54656, US, 1, JPVWEIGDXX@dell.com, 7842002899, 4, 3349915018305182, 2008/02, user88, password, 20, 60000, M
89, ZTBECR, ZZVIFZFDSR, 3881306276 Dell Way, \N, HSTOLWB, GA, 61593, US, 1, ZZVIFZFDSR@dell.com, 3881306276, 2, 6911563112400473, 2009/11, user89, password, 34, 40000, M
90, HMTYMT, UVZTACMSJE, 6012148553 Dell Way, \N, LYPIAUX, KS, 27127, US, 1, UVZTACMSJE@dell.com, 6012148553, 4, 1807652772404253, 2011/12, user90, password, 71, 20000, F
91, MAZFUU, ENVGZNQDZP, 8338619980 Dell Way, \N, TIPNFXS, RI, 61453, US, 1, ENVGZNQDZP@dell.com, 8338619980, 3, 6087300324812532, 2010/08, user91, password, 22, 20000, M
92, BFKVKY, QQXEHBEWUM, 5313838823 Dell Way, \N, LISIBMX, UT, 12099, US, 1, QQXEHBEWUM@dell.com, 5313838823, 3, 6740367790218443, 2010/06, user92, password, 36, 60000, M
93, RKAPBR, MGZOKVIXHR, 7656402342 Dell Way, \N, PQSCNPC, AK, 98954, US, 1, MGZOKVIXHR@dell.com, 7656402342, 3, 4691996377892792, 2012/02, user93, password, 21, 80000, M
94, CGPUTV, THGPQDWHTM, 1007417866 Dell Way, \N, AVAPYAP, NY, 61905, US, 1, THGPQDWHTM@dell.com, 1007417866, 4, 7348126735538245, 2008/05, user94, password, 35, 20000, M
